"id_c","acc_type_business_c","investment_profile_c","alternativeinvestments_c","managementfees_c","comments_c"
"b61395a9-5d8b-25e5-594d-6304b6ece2b7","","Capital Gain","30","1.1","Referenzwährung - CHF"
"7eae80ff-aabb-ec70-48f5-6304b7f65da3","","Capital Gain","30","1.1","Referenzwährung - CHF"
"ed879423-8a62-5d99-757e-6304b7a354ec","","Growth","30","1.1","Referenzwährung - CHF"
"152ecee3-a28c-1d9d-0025-63076a14589d","","Growth","30","1.2","Referenzwährung - CHF"
"98d9fb2a-fdca-0278-124d-63076b9c5dfa","","Growth","30","0.75","Referenzwährung - CHF"
"22bfb88d-f4e9-95ed-5482-63076c68539d","","Balanced","30","1.1","Referenzwährung - CHF"
"515a1988-617d-c1ed-1ebb-6358df21eabd","","Growth","0","0.55","Referenzwährung - CHF"
"826ffa5b-61e9-8095-93b8-6358e0e2fc15","","Revenue Oriented","30","1.1","Referenzwährung - CHF"
"11b16901-3c66-98cd-541c-63611d238e69","","Balanced","30","1.1",""
"5d9d38a9-828d-f6fa-b42c-636920dd4d9e","","Balanced","30","1.1","Referenzwährung - CHF"
"972ac021-d682-456d-8e3e-63918b0d2aac","","Balanced","30","1.1","Referenzwährung - CHF"
"bf72ca68-c30c-ce73-be3e-63918c4b4448","","Balanced","30","1.1","Referenzwährung - CHF"
"3802a93b-1e7c-263f-b7d5-63a2fecfe3c8","","Balanced","30","1.1","Referenzwährung - CHF"
"42b0abe5-6b98-5353-cc88-63fe2397c378","","Growth","30","1.1","Referenzwährung - CHF"
"ed0f8266-a123-2d34-55bc-63fe240211a4","","Balanced","30","1.1","Referenzwährung - CHF"
"9f40737c-df07-76bb-fc66-6411d795ecbd","","Balanced","30","1.1","Referenzwährung - CHF"
"9988b4c3-eca2-49aa-cbcd-648093379d66","","Balanced","30","1.1","Referenzwährung - CHF"
"b2816433-bcd3-8beb-a53c-64d63dc96aff","","Growth","25","1,00","Currency reference CHF"
"edcbc170-a7eb-03dc-7bbb-64e34df982bf","","Balanced","30","1.1","Referenzwährung - CHF"
"30b80f50-635d-3684-0e3f-64e34eae8fe5","","Fixed Income","30","1.1","Referenzwährung - CHF"
"c217055d-121a-a456-9d8c-64ecade4dc94","","Growth","40","0.5",""
"c0346c7c-3031-1150-62d3-654baccec245","","Growth","25","0.95","Currency reference CHF , All in fee"
"42620b13-ec61-3119-358d-6555dfa050ee","","Capital Gain","30","1.2",""
"553228f2-4823-1ca3-9b87-6585b7f41cf3","","Revenue Oriented","20","1,00","Currency reference CHF , All in fee"
"dcd1cfd8-b669-4ff5-57d1-6585b9645f55","","Balanced","20","1.00","Currency reference CHF"
"1225f251-c871-2d7a-839a-6585bbfcad8b","","Balanced","20","1.00","Currency reference CHF , All in fee"
"d6c021d4-f0d0-6ed8-9477-6585ce767ebe","","Balanced","20","0.85","Currency reference CHF , All in fee"
"19fc722c-b137-7694-0ae0-65a69b90dbb0","","Growth","15","1.00","Currency Référence EUR"
"113d001c-3881-9c69-d613-65a69ff16b7d","","Revenue Oriented","15","0.9","Currency Reference EUR, all-in"
"2e0bd073-69f5-6f64-f3f4-65d750cef73f","","Balanced","20","1%","All in Fee model"
"2864c472-ea1a-803e-b0ba-6602da347bd3","","Balanced","30","1.1","Referenzwährung - CHF"
"e0cc8410-5012-b840-a231-66153d75582d","","Balanced","30","0.65","Referenzwährung - CHF"
"c9d44e45-6630-22a0-b06b-6617a71552a3","","Balanced","20","0.7","Currency reference CHF , All in fee"
"819a0393-401b-0698-c7f8-665f0808d24a","","Balanced","30","1.1","Referenzwährung - CHF"
"c10f2565-1a67-f1af-236f-66a747a6fe7f","","Balanced","20","0.70","Currency reference CHF"
"e5c86d71-674b-5630-65bb-67ab0949afe5","","Capital Gain","30","0.75","Referenzwährung - CHF"
"34583327-3197-7325-cf74-688b0c0adf1e","","Growth","100","0.50","USD Currency référence"
"955ca501-c37d-b61b-12e5-689c5b1bdd88","","Balanced","25","1.00","EUR Currency reference"
